,encoder,data
401,401,-5601498.151893288
402,402,-5529184.990533562
403,403,-5456664.043459553
404,404,-5385207.239242686
405,405,-5312194.649311531
406,406,-5240070.059380379
407,407,-5167648.112306369
408,408,-5095245.950946644
409,409,-5022800.146729777
410,410,-4950007.699655766
411,411,-4877591.96686747
412,412,-4805283.162650602
413,413,-4731894.715576593
414,414,-4658966.4113597255
415,415,-4586139.678571429
416,416,-4513733.374354562
417,417,-4441399.141566265
418,418,-4368787.265920826
419,419,-4296095.604561102
420,420,-4223873.300344234
421,421,-4151812.210413081
422,422,-4080120.334767642
423,423,-4008857.1734079174
424,424,-3936784.726333908
425,425,-3865114.779259897
426,426,-3793845.332185887
427,427,-3722541.385111876
428,428,-3652217.009466437
429,429,-3581487.133820999
430,430,-3511406.75817556
431,431,-3442004.8111015493
432,432,-3371981.5068846815
433,433,-3302540.2026678147
434,434,-3233245.112736661
435,435,-3164521.665662651
436,436,-3095903.2185886404
437,437,-3028187.2715146304
438,438,-2961022.3958691913
439,439,-2894001.8773666094
440,440,-2827941.6445783135
441,441,-2761443.4117900175
442,442,-2695185.3218588643
443,443,-2629917.231927711
444,444,-2564902.070567986
445,445,-2500744.909208262
446,446,-2436322.962134252
447,447,-2372441.44363167
448,448,-2309241.3537005163
449,449,-2247423.263769364
450,450,-2185560.816695353
451,451,-2123460.0839070566
452,452,-2062421.136833047
453,453,-2002264.975473322
454,454,-1941948.8141135979
455,455,-1882736.5813253014
456,456,-1824152.348537005
457,457,-1766382.187177281
458,458,-1708583.668674699
459,459,-1652423.6501721172
460,460,-1596148.9173838212
461,461,-1540292.541738382
462,462,-1485593.5946643716
463,463,-1431219.7190189334
464,464,-1377607.2719449229
465,465,-1325090.8962994837
466,466,-1272819.1635111882
467,467,-1221009.645008606
468,468,-1170700.41222031
469,469,-1120319.679432014
470,470,-1071099.8037865749
471,471,-1022083.9281411362
472,472,-973935.838209983
473,473,-926380.105421687
474,474,-880013.444061962
475,475,-833779.4255593806
476,476,-788258.97848537
477,477,-743792.6742685027
478,478,-700035.3700516354
479,479,-657418.637263339
480,480,-614913.190189329
481,481,-573269.5288296044
482,482,-532047.2246127366
483,483,-491490.49182444066
484,484,-451633.68760757335
485,485,-412569.52624784876
486,486,-374303.57917383825
487,487,-337459.7035283996
488,488,-301234.32788296044
489,489,-265384.16652323585
490,490,-230523.4337349399
491,491,-196228.41523235803
492,492,-163173.89672977664
493,493,-130366.5210843375
494,494,-98229.64543889882
495,495,-67283.98407917377
496,496,-36508.67986230692
497,497,-7046.018502581399
498,498,21846.714285714086
